0u, 0
0.001u, 0
20u, 0
20.001u, 0
40u, 0
40.001u, 0
60u, 0
60.001u, 0
80u, 0
80.001u, 0
100u, 0
100.001u, 0
120u, 0
120.001u, 0
140u, 0
140.001u, 0
160u, 0
160.001u, 0
180u, 0
180.001u, 0
200u, 0
200.001u, 0
220u, 0
220.001u, 0
240u, 0
240.001u, 0
260u, 0
260.001u, 0
280u, 0
280.001u, 0
300u, 0
300.001u, 0
320u, 0
320.001u, 0
340u, 0
340.001u, 0
360u, 0
360.001u, 0
380u, 0
380.001u, 0
400u, 0
400.001u, 0
420u, 0
420.001u, 0
440u, 0
440.001u, 0
460u, 0
460.001u, 0
480u, 0
480.001u, 0
500u, 0
500.001u, 0
520u, 0
520.001u, 0
540u, 0
540.001u, 0
560u, 0
560.001u, 0
580u, 0
580.001u, 0
600u, 0
600.001u, 0
620u, 0
620.001u, 0
640u, 0
640.001u, 0
660u, 0
660.001u, 0
680u, 0
680.001u, 0
700u, 0
700.001u, 0
720u, 0
720.001u, 0
740u, 0
740.001u, 0
760u, 0
760.001u, 0
780u, 0
780.001u, 0
800u, 0
800.001u, 0
820u, 0
820.001u, 0
840u, 0
840.001u, 0
860u, 0
860.001u, 0
880u, 0
880.001u, 0
900u, 0
900.001u, 0
920u, 0
920.001u, 0
940u, 0
940.001u, 0
960u, 0
960.001u, 0
980u, 0
980.001u,900m
1000u,900m
1000.001u, 0
1020u, 0
1020.001u, 0
1040u, 0
1040.001u, 900m
1060u, 900m
1060.001u, -1
1080u, -1
1080.001u, 1
1100u, 1
1100.001u, 1
1120u, 1
1120.001u, 0
1140u, 0
1140.001u, 0
1160u, 0
1160.001u, 0
1180u, 0
1180.001u, 900m
1200u, 900m
1200.001u, -1
1220u, -1
1220.001u, 1
1240u, 1
1240.001u, 0
1260u, 0
1260.001u, 0
1280u, 0
1280.001u, 0
1300u, 0
1300.001u, 0
1320u, 0
1320.001u, 1
1340u, 1
1340.001u, 0
1360u, 0
1360.001u, 0
1380u, 0
1380.001u, 0
1400u, 0

