0u, 0
0.001u, 0
20u, 0
20.001u, 0
40u, 0
40.001u, 0
60u, 0
60.001u, 0
80u, 0
80.001u, 0
100u, 0
100.001u, 0
120u, 0
120.001u, 0
140u, 0
140.001u, 0
160u, 0
160.001u, 0
180u, 0
180.001u, 0
200u, 0
200.001u, 1
220u, 1
220.001u, 1
240u, 1
240.001u, 0
260u, 0
260.001u, 0
280u, 0
280.001u, 0
300u, 0
300.001u, 0
320u, 0
320.001u, 1
340u, 1
340.001u, 0
360u, 0
360.001u, 1
380u, 1
380.001u, 1
400u, 1
400.001u, 1
420u, 1
420.001u, 1
440u, 1
440.001u, 0
460u, 0
460.001u, 0
480u, 0
480.001u, 0
500u, 0
500.001u, 0
520u, 0
520.001u, 0
540u, 0
540.001u, 0
560u, 0
560.001u, 0
580u, 0
580.001u, 0
600u, 0
600.001u, 0
620u, 0
620.001u, 0
640u, 0
640.001u, 1
660u, 1
660.001u, 1
680u, 1
680.001u, 0
700u, 0
700.001u, 0
720u, 0
720.001u, 0
740u, 0
740.001u, 0
760u, 0
760.001u, 1
780u, 1
780.001u, 0
800u, 0
800.001u, 1
820u, 1
820.001u, 1
840u, 1
840.001u, 1
860u, 1
860.001u, 1
880u, 1
880.001u, 0
900u, 0
900.001u, 0
920u, 0
920.001u, 0
940u, 0
940.001u, 0
960u, 0
960.001u, 0
980u, 0
980.001u, 0
1000u, 0
1000.001u, 0
1020u, 0
1020.001u, 0
1040u, 0
1040.001u, 0
1060u, 0
1060.001u, 0
1080u, 0
1080.001u, 1
1100u, 1
1100.001u, 1
1120u, 1
1120.001u, 0
1140u, 0
1140.001u, 0
1160u, 0
1160.001u, 0
1180u, 0
1180.001u, 0
1200u, 0
1200.001u, 1
1220u, 1
1220.001u, 0
1240u, 0
1240.001u, 1
1260u, 1
1260.001u, 1
1280u, 1
1280.001u, 1
1300u, 1
1300.001u, 1
1320u, 1
1320.001u, 0
1340u, 0

